topic,keywords_cn,keywords_en,keywords_ru,topic_en,topic_cn,topic_ru
10,"[数据, 数字, 治理, 开放, 科学, 计算, 数据共享, 共享, 城市, 数字化]","[data, digital, governance, open, science, computing, data sharing, sharing, city, digitalization]","[данные, цифровые, управление, открытые, наука, вычисления, обмен данными, совместное использование, город, оцифровка]",Digital Technology and Big Data-Driven Scientific Research and Social Development,数字技术与大数据驱动的科学研究与社会发展,Научные исследования и социальное развитие на основе цифровых технологий и больших данных
11,"[土壤, 污染, 重金属, 修复, 土壤污染, 耕地, 农田, 农业, 红壤, 生态]","[soil, pollution, heavy metals, remediation, soil pollution, cultivated land, farmland, agriculture, red soil, ecology]","[почва, загрязнение, тяжелые металлы, реабилитация, загрязнение почвы, пахотные земли, сельскохозяйственные угодья, сельское хозяйство, красноземы, экология]",Soil Environment and Sustainable Development,土壤环境与可持续发展,Почвенная среда и устойчивое развитие
12,"[周年, 纪念, 邓小平, 同志, 合作, 马普, 庆祝, 建院, 学会, 中国科学院]","[anniversary, commemoration, deng xiaoping, comrade, cooperation, max planck, celebration, founding, society, chinese academy of sciences]","[годовщина, памятная дата, дэн сяопин, товарищ, сотрудничество, макс планк, праздник, основание, общество, китайская академия наук]",CAS Development History and Scientific Cooperation,中科院发展与科技合作史,История развития КАН и научное сотрудничество
13,"[测量仪, 检测仪, 便携式, 检测器, 测量, 涡轮, 叶片, 风速, 全自动, 超声]","[measuring instrument, detector, portable, detector, measurement, turbine, blade, wind speed, fully automatic, ultrasound]","[измерительный прибор, детектор, портативный, детектор, измерение, турбина, лопасть, скорость ветра, полностью автоматический, ультразвуковой]",Precision Measurement and Detection Instruments,精密测量与检测仪器,Приборы для точных измерений и обнаружения
14,"[扶贫, 精准, 脱贫, 贫困, 攻坚, 库伦旗, 实践, 定点, 贫困地区, 助推]","[poverty alleviation, precision, poverty alleviation, poverty, attack, kulun banner, practice, fixed point, poverty-stricken areas, boost]","[борьба с бедностью, точность, борьба с бедностью, бедность, атака, кулунское знамя, практика, целевые, бедные районы, усиление]",S&T Aided Poverty Alleviation,科技扶贫,Борьба с бедностью с помощью науки и технологий
15,"[空间科学, 空间, 专项, 行星, 先导, 航天, 任务, 深空, 探测, 太空]","[space science, space, special, planet, pioneer, aerospace, mission, deep space, detection, space]","[космическая наука, космос, специализация, планета, пилот, аэрокосмическая промышленность, миссия, глубокий космос, исследование, космос]",Space Science Development Strategy,空间科学发展战略,Стратегия развития космических наук
16,"[深海, 海洋, 海底, 观测, 浮标, 水声, 探测, 东海, 剖面, 综合]","[deep sea, ocean, seabed, observation, buoy, hydroacoustic, detection, east china sea, profile, comprehensive]","[глубокое море, океан, морское дно, наблюдение, буй, гидроакустика, обнаружение, восточно-китайское море, профиль, комплексный]",Deep-sea Observation and Exploration,深海观测与探测,Глубоководные наблюдения и исследования
17,"[天文, 天文学, 天文台, 宇宙, 宇宙线, 望远镜, 天体, 观测, 太阳, 恒星]","[astronomy, astronomy, observatory, universe, cosmic ray, telescope, celestial body, observation, sun, star]","[астрономия, астрономия, обсерватория, вселенная, космические лучи, телескоп, небесное тело, наблюдение, солнце, звезды]",Astronomy Development and Research Facilities,天文学发展与科研设施,Развитие астрономии и исследовательские объекты
18,"[纳米, 薄膜, 纳米材料, 制备, 材料, 陶瓷, 器件, 碳化硅, 晶体生长, 碳纳米管]","[nano, film, nanomaterial, preparation, material, ceramic, device, silicon carbide, crystal growth, carbon nanotube]","[нано, тонкая пленка, наноматериал, подготовка, материал, керамика, устройство, карбид кремния, рост кристаллов, углеродная нанотрубка]",Nanomaterials and Advanced Functional Materials,纳米材料与先进功能材料研究,Наноматериалы и передовые функциональные материалы
19,"[多样性, 生物, 生态, 保护, 生态系统, 恢复, 生态学, 野生, 种质, 森林]","[diversity, biology, ecology, protection, ecosystem, restoration, ecology, wild, germplasm, forest]","[разнообразие, биология, экология, сохранение, экосистема, восстановление, экология, дикая природа, зародышевая плазма, лес]",Biodiversity Conservation and Ecosystem Restoration,生物多样性保护与生态系统恢复,Сохранение биоразнообразия и восстановление экосистем
20,"[心理学, 心理, 社会, 心理健康, 和谐, 认知, 社会心理学, 行为, 干预, 学科]","[psychology, psychology, society, mental health, harmony, cognition, social psychology, behavior, intervention, discipline]","[психология, психология, общество, психическое здоровье, гармония, познание, социальная психология, поведение, вмешательство, дисциплина]",Social Psychology and its Applications,社会心理学及其应用,Социальная психология и ее применения
21,"[碳中, 排放, 能源, 双碳, 目标, 碳达峰, 低碳, 减排, 路径, 交易]","[carbon neutrality, emission, energy, dual carbon, target, carbon peak, low carbon, emission reduction, path, transaction]","[углерод, выбросы, энергия, двойной углерод, цель, углеродный пик, низкий уровень выбросов углерода, сокращение выбросов, путь, транзакция]",Carbon Neutrality Goals,碳中和目标,Достижение углеродной нейтральности
22,"[物理, 激光, 光学, 精密机械, 高功率, 进展, 神光, 半导体, 强场, 装置]","[physics, laser, optics, precision machinery, high power, progress, shenguang, semiconductor, strong field, device]","[физика, лазер, оптика, точная техника, высокая мощность, прогресс, божественный свет, полупроводник, сильное поле, устройство]",High Power Laser Physics and Technology,高功率激光物理与技术,Физика и технология мощных лазеров
23,"[核能, 加速器, 重离子, 核裂变, 核电站, 反应堆, 熔盐, 放射性, 核电, 先进]","[nuclear energy, accelerator, heavy ion, nuclear fission, nuclear power plant, reactor, molten salt, radioactivity, nuclear power, advanced]","[ядерная энергия, ускоритель, тяжелые ионы, ядерное деление, атомная электростанция, реактор, расплавленная соль, радиоактивность, ядерная энергетика, передовые технологии]",Advanced Nuclear Energy Technology,先进核能技术,Передовые ядерные энергетические технологии
24,"[预测, 经济, 形势, 增长, 增速, 进出口, 房地产, 人民币, 分析, 中国]","[forecast, economy, situation, growth, growth rate, import and export, real estate, rmb, analysis, china]","[прогноз, экономика, ситуация, рост, темпы роста, импорт и экспорт, недвижимость, юань, анализ, китай]",Economic Forecast and Analysis,经济预测与分析,Экономические прогнозы и анализ
25,"[学部, 主席团, 名单, 院士, 常务委员会, 外籍, 中国科学院学部, 道德, 主任, 中国科学院]","[academic department, presidium, list, academician, standing committee, foreign, cas academic department, morality, director, cas]","[факультет, президиум, список, академик, постоянный комитет, иностранный, отделение китайской академии наук, этика, директор китайской академии наук]",CAS Academicians and Academic Divisions Work,中国科学院院士和学部工作,Работа академиков и отделений КАН
26,"[知识产权, 专利, 企业, 保护, 管理, 专利权, 战略, 行政, 摩擦, 质押]","[intellectual property, patent, enterprise, protection, management, patent right, strategy, administration, friction, pledge]","[интеллектуальная собственность, патент, предпринимательство, защита, управление, патентные права, стратегия, администрирование, трение, залог]",Intellectual Property Protection and Management,知识产权保护与管理,Защита и управление интеллектуальной собственностью
27,"[显微镜, 电子显微镜, 分辨, 扫描, 光学, 聚焦, 三维, 超快, 原子力, 发射]","[microscope, electron microscope, resolution, scanning, optics, focusing, three-dimensional, ultrafast, atomic force, emission]","[микроскоп, электронный микроскоп, разрешение, сканирование, оптика, фокусировка, трехмерный, сверхбыстрый, атомно-силовой, эмиссия]",Advanced Microscopy and Characterization Techniques,先进显微分析技术,Передовые методы микроскопии и характеризации
28,"[农业, 供给, 粮食, 现代农业, 联网, 农村, 生产, 农机, 发展, 结构性]","[agriculture, supply, food, modern agriculture, networking, rural, production, agricultural machinery, development, structural]","[сельское хозяйство, снабжение, продукты питания, современное сельское хозяйство, сети, сельские районы, производство, сельскохозяйственная техника, развитие, структурные]",Agricultural Reforms,农业改革,Сельскохозяйственные реформы
29,"[育种, 水稻, 小麦, 新品种, 模块, 分子, 基因组, 选育, 品种, 种业]","[breeding, rice, wheat, new varieties, module, molecule, genome, breeding, variety, seed industry]","[селекция, рис, пшеница, новые сорта, модули, молекулы, геномы, селекция, сорта, семеноводство]",Current Status and Innovation Systems in Agriculture and Biological Breeding Research,农业与生物育种研究现状及创新体系,Текущее состояние и инновационные системы в исследованиях сельского хозяйства и биологического разведения
30,"[安全, 生物, 入侵, 外来, 昆虫, 生物入侵, 防治, 害虫, 物种, 病毒]","[safety, biology, invasion, foreign, insect, biological invasion, prevention and control, pest, species, virus]","[безопасность, биология, вторжение, инопланетянин, насекомое, биологическое вторжение, контроль, вредитель, вид, вирус]",Biosecurity and Invasion Biology,生物安全与外来生物入侵防控,Биобезопасность и инвазионная биология
31,"[疫情, 新冠, 肺炎, 公共卫生, 应急, 防控, 突发, 传染病, 疫病, 禽流感]","[epidemic, new crown, pneumonia, public health, emergency, prevention and control, sudden, infectious disease, epidemic, avian influenza]","[эпидемия, новый коронавирус, пневмония, общественное здравоохранение, чрезвычайная ситуация, профилактика и контроль, чрезвычайная ситуация, инфекционное заболевание, эпидемия, птичий грипп]",Public Health Emergency Management,公共卫生应急管理,Управление чрезвычайными ситуациями в области общественного здравоохранения
32,"[污染, 大气, 污染物, 灰霾, 有机物, 挥发性, 健康, 颗粒物, 环境, 环境污染]","[pollution, atmosphere, pollutant, haze, organic matter, volatile, health, particulate matter, environment, environmental pollution]","[загрязнение, атмосфера, загрязняющие вещества, дымка, органические вещества, летучесть, здоровье, твердые частицы, окружающая среда, загрязнение окружающей среды]",Environment Pollution,大气污染与健康效应,Загрязнение окружающей среды
33,"[化学, 有机, 有机化学, 化合物, 合成, 地球化学, 绿色, 分子, 反应, 试剂]","[chemistry, organic, organic chemistry, compound, synthesis, geochemistry, green, molecule, reaction, reagent]","[химия, органика, органическая химия, соединения, синтез, геохимия, зеленый цвет, молекулы, реакции, реагенты]",Chemical Sciences and Technology,化学科学技术,Химические науки и технологии
34,"[煤炭, 天然气, 清洁, 烯烃, 甲醇, 高效, 煤化工, 合成气, 能源, 技术]","[coal, natural gas, clean, olefin, methanol, efficient, coal chemical industry, synthesis gas, energy, technology]","[уголь, природный газ, чистый, олефины, метанол, высокая эффективность, углехимическая промышленность, синтез-газ, энергетика, технологии]",Clean and Efficient Utilization of Coal and Natural Gas,煤炭和天然气资源的清洁高效利用,Чистое и эффективное использование угля и природного газа
35,"[信息安全, 网络安全, 网络, 网络空间, 安全, 互联网, 隐私, 联网, 信息, 加密]","[information security, network security, network, cyberspace, security, internet, privacy, networking, information, encryption]","[информационная безопасность, кибербезопасность, сеть, киберпространство, безопасность, интернет, конфиденциальность, сеть, информация, шифрование]",Cybersecurity and Information Security,网络安全与信息安全,Кибербезопасность и информационная безопасность
36,"[高性能, 计算, 计算机, 芯片, 超级, 曙光, 超算, 应用, 研制, 计算技术]","[high performance, computing, computer, chip, super, shuguang, supercomputing, application, research, computing technology]","[высокая производительность, вычисления, компьютер, чип, супер, рассвет, суперкомпьютеры, применение, разработка, вычислительные технологии]",High-Performance Computing,高性能计算,Высокопроизводительные вычисления
37,"[绿色, 一带, 一路, 消费, 设计, 经济, 生态旅游, 建筑, 约束, 低碳]","[green, the belt and road, consumption, design, economy, ecotourism, architecture, constraints, low carbon]","[зеленый, один пояс, одна дорога, потребление, дизайн, экономика, экотуризм, архитектура, ограничения, низкий уровень выбросов углерода]",Belt and Road Initiative: S&T Innovation and Sustainable Development,"""一带一路"" 科技创新与可持续发展","""Пояс и путь"": научно-технические инновации и устойчивое развитие"
38,"[大气, 天空, 在线, 臭氧, 监测, 系统, 激光雷达, 观测, 差分, 云图]","[atmosphere, sky, online, ozone, monitoring, system, lidar, observation, differential, cloud map]","[атмосфера, небо, онлайн, озон, мониторинг, система, лидар, наблюдение, дифференциал, изображение облаков]",Atmospheric Monitoring Systems,大气监测系统,Системы мониторинга атмосферы
39,"[城镇化, 城市化, 城市, 城乡, 新型, 城市群, 城镇, 一体化, 交通, 进程]","[urbanization, urbanization, city, urban and rural, new, urban agglomeration, town, integration, transportation, process]","[урбанизация, урбанизация, город, городское и сельское, новый тип, городская агломерация, город, интеграция, транспорт, процесс]",Urbanization,城市化,Китае
40,"[镀膜, 蒸发, 设备, 真空泵, 气相, 沉积, 化学, 电子束, 空气压缩机, 控制器]","[coating, evaporation, equipment, vacuum pump, gas phase, deposition, chemistry, electron beam, air compressor, controller]","[покрытие, испарение, оборудование, вакуумный насос, паровая фаза, осаждение, химия, электронный луч, воздушный компрессор, контроллер]",Thin Film Deposition and Vacuum Technology,薄膜沉积与真空技术,Нанесение тонких пленок и вакуумные технологии
41,"[持续, 现代化, 山区, 中国, 发展, 战略, 路径, 经济, 能力, 社会]","[sustainability, modernization, mountainous area, china, development, strategy, path, economy, capability, society]","[поддержание, модернизация, горные районы, китай, развитие, стратегия, путь, экономика, возможности, общество]",Sustainable Development in China,中国可持续发展,Устойчивое развитие в Китае
42,"[青藏高原, 亚洲, 水塔, 变化, 冰川, 降水, 影响, 气候, 水文, 湖泊]","[qinghai-tibet plateau, asia, water tower, change, glacier, precipitation, impact, climate, hydrology, lake]","[тибетское нагорье, азия, водонапорная башня, изменение, ледник, осадки, воздействие, климат, гидрология, озеро]",Climate Change Impact,气候变化影响,Влияние изменения климата
43,"[激光器, 飞秒, 大功率, 激光, 红外, 半导体, 放大器, 宝石, 高功率, 高重频]","[laser, femtosecond, high power, laser, infrared, semiconductor, amplifier, gem, high power, high repetition rate]","[лазер, фемтосекундный, высокой мощности, лазер, инфракрасный, полупроводниковый, усилитель, драгоценный камень, высокая мощность, высокая частота повторения]",Laser and Semiconductor Technology,激光与半导体技术,Лазерные и полупроводниковые технологии
44,"[神经, 认知, 类脑, 人工智能, 脑科学, 环路, 智能, 神经科学, 果蝇, 人脑]","[neural, cognitive, brain-like, artificial intelligence, brain science, circuit, intelligence, neuroscience, fruit fly, human brain]","[неврология, познание, мозгоподобное, искусственный интеллект, наука о мозге, схема, интеллект, нейробиология, плодовая мушка, человеческий мозг]",Brain Science and Brain-Inspired Artificial Intelligence,脑科学与类脑人工智能,"Науки о мозге и искусственный интеллект, вдохновленный мозгом"
45,"[显微镜, 扫描, 隧道, 外延, 分子, 低温, 探针, 高通量, 系统, 联合]","[microscope, scanning, tunnel, epitaxy, molecule, low temperature, probe, high throughput, system, joint]","[микроскоп, сканирование, туннелирование, эпитаксия, молекула, криогенный, зонд, высокопроизводительный, система, сустав]",Cryogenics and Microscopy Technology,低温与显微技术,Криогеника и технологии микроскопии
46,"[发生器, 换能器, 脉冲, 超声, 微型, 高压, 授时, 信号, 同步, 任意]","[generator, transducer, pulse, ultrasound, miniature, high voltage, timing, signal, synchronization, arbitrary]","[генератор, датчик, импульс, ультразвук, микро, высокое напряжение, синхронизация, сигнал, синхронизация, любой]",Ultrasonic Technology and Precision Time-Frequency Measurement,超声技术与精密时频测量,Ультразвуковые технологии и прецизионное измерение времени-частоты
47,"[成像, 动物, 影像, 断层, 分子, 光学, 模态, 多模, 在体, 系统]","[imaging, animal, image, tomography, molecule, optics, modality, multimode, in vivo, system]","[отображение, животное, изображение, томография, молекула, оптика, модальность, мультимодальность, in vivo, система]",Biomedical Imaging of Animals,动物生物医学成像,Биомедицинская визуализация животных
48,"[数学, 几何, 证明, 定理, 算法, 机械化, 机器, 方程, 数学家, 方法]","[mathematics, geometry, proof, theorem, algorithm, mechanization, machine, equation, mathematician, method]","[математика, геометрия, доказательство, теорема, алгоритм, механизация, машина, уравнение, математик, метод]",Automated Theorem Proving,几何定理机器证明,Автоматическое доказательство теорем
49,"[多功能, 内耗, 环形, 性能, 多维, 检漏, 超薄, 材料, 尺度, 构件]","[multifunctional, internal friction, ring, performance, multidimensional, leak detection, ultra-thin, material, scale, component]","[многофункциональный, внутреннее трение, кольцеобразный, производительный, многомерный, обнаружение утечек, ультратонкий, материал, масштаб, компонент]",Advanced Multifunctional Instrumentation for Materials Science and Laser Technology,材料科学和激光技术的先进多功能仪器,Передовые многофункциональные приборы для материаловедения и лазерной технологии
50,"[沙漠化, 沙漠, 荒漠, 土地, 荒漠化, 绿洲, 植被, 治沙, 防治, 防沙]","[desertification, desert, desert, land, desertification, oasis, vegetation, sand control, prevention, sand prevention]","[опустынивание, пустыня, пустыня, земля, опустынивание, оазис, растительность, борьба с песком, контроль, борьба с песком]",Desertification Control and Research,沙漠化防治与研究,Контрольи и исследования опустынивания
51,"[持续, 数据, 目标, 地球, 联合国, 指标, 实现, 评估, 议程, 发展]","[sustainability, data, target, earth, united nations, indicator, realization, evaluation, agenda, development]","[поддерживать, данные, цели, планета, организация объединенных наций, показатели, достижение, оценка, повестка дня, развитие]",Earth Big Data for Sustainable Development,地球大数据支撑可持续发展,Большие данные о Земле для устойчивого развития
52,"[超导, 绝对, 重力仪, 高温, 超导体, 磁选机, 装置, 强磁场, 实验, 磁悬浮列车]","[superconductivity, absolute, gravimeter, high temperature, superconductor, magnetic separator, device, strong magnetic field, experiment, maglev train]","[сверхпроводимость, абсолют, гравиметр, высокая температура, сверхпроводник, магнитный сепаратор, прибор, сильное магнитное поле, эксперимент, поезд на магнитной подвеске]",Superconducting Devices and Applications,超导装置及其应用,Сверхпроводящие устройства и приложения
53,"[研究生, 培养, 教育, 博士生, 硕士, 人才, 质量, 招生, 学生, 导师]","[graduate student, training, education, doctoral student, master, talent, quality, enrollment, student, tutor]","[аспиранты, подготовка, образование, докторанты, магистры, таланты, качество, прием, студенты, наставники]",Graduate Education and Talent Cultivation,研究生教育与人才培养,Послевузовское образование и развитие талантов
54,"[药物, 新药, 中药, 酚酸, 丹参, 开发, 筛选, 青蒿素, 医药, 复方]","[drug, new drug, traditional chinese medicine, phenolic acid, salvia miltiorrhiza, development, screening, artemisinin, medicine, compound]","[лекарства, новые лекарства, традиционная китайская медицина, фенольные кислоты, шалфей многолистный, разработка, скрининг, артемизинин, лекарство, соединение]",Drug Development and Traditional Chinese Medicine,药物开发与中药,Разработка лекарств и традиционная китайская медицина
55,"[文明, 生态, 自然资源, 建设, 负债表, 资产, 林业, 马克思, 生态农业, 编制]","[civilization, ecology, natural resources, construction, balance sheet, assets, forestry, marx, ecological agriculture, compilation]","[цивилизация, экология, природные ресурсы, строительство, баланс, активы, лесное хозяйство, маркс, экологическое сельское хозяйство, подготовка]",Ecological Civilization Construction,生态文明建设,Строительство экологической цивилизации
56,"[中子, 谱仪, 磁共振, 脉冲, 电子, 高场, 斩波器, 线圈, 超声速, 激发态]","[neutron, spectrometer, magnetic resonance, pulse, electron, high field, chopper, coil, supersonic, excited state]","[нейтрон, спектрометр, магнитный резонанс, импульс, электрон, сильное поле, прерыватель, катушка, сверхзвук, возбужденное состояние]",Neutron Scattering Instruments,中子散射仪器,Приборы для нейтронного рассеяния
57,"[单细胞, 分选, 拉曼, 临床, 测序, 干细胞, 耦合, 诱导, 全自动, 药敏]","[single cell, sorting, raman, clinical, sequencing, stem cell, coupling, induction, fully automatic, drug sensitivity]","[одноклеточные, сортировка, комбинационное рассеяние света, клиническое, секвенирование, стволовые клетки, связывание, индукция, полностью автоматизированное, чувствительность к лекарственным средствам]",Stem Cell and Regenerative Medicine Research,干细胞与再生医学,Исследования стволовых клеток и регенеративной медицины
58,"[基站, 超级, 漂流, 缪尔, 靶斑仪, 抓斗, 天顶, 子午, 浮标, 探针]","[base station, super, drift, muir, target spotter, grab, zenith, meridian, buoy, probe]","[базовая станция, супер, дрейф, мьюир, измеритель точки цели, захват, зенит, меридиан, буй, зонд]",Scientific Research Instruments and Large Scientific Engineering Projects,科学研究仪器开发及大型科学工程建设,Научно-исследовательские приборы и крупные научные инженерные проекты
59,"[国土, 功能区, 主体, 空间, 空间规划, 空间结构, 区域, 规划, 格局, 优化]","[land, functional area, subject, space, spatial planning, spatial structure, region, planning, pattern, optimization]","[территория, функциональная зона, основной корпус, пространство, пространственная планировка, пространственная структура, регион, планировка, схема, оптимизация]",Land Spatial Governance and Regional Development Strategy,国土空间治理与区域发展战略研究,Стратегия управления земельным пространством и регионального развития
60,"[油气, 页岩, 油田, 石油, 勘探, 天然气, 水合物, 开发, 盆地, 油藏]","[oil and gas, shale, oil field, petroleum, exploration, natural gas, hydrate, development, basin, reservoir]","[нефть и газ, сланец, нефтяное месторождение, нефть, разведка, природный газ, гидрат, разработка, бассейн, резервуар]",Oil and Gas Exploration and Development,油气勘探与开发,Разведка и разработка нефти и газа
61,"[任命, 院长, 简介, 中国科学院, 党组, 书记, 党组书记, 部长级, 建国, 施尔畏]","[appointment, president, introduction, chinese academy of sciences, party group, secretary, party group secretary, ministerial level, jianguo, shi erwei]","[назначение, декан, введение, китайская академия наук, партийная группа, секретарь, секретарь партийной группы, министерский уровень, цзяньго, ши эрвэй]",CAS Leaders Appointments and Profiles,中科院领导任命与简介,Назначения и профили руководителей КАН
62,"[磁控溅射, 镀膜, 磁场, 高能, 卷绕, 磁悬浮, 设备, 磁通, 镀膜机, 感应式]","[magnetron sputtering, coating, magnetic field, high energy, winding, magnetic levitation, equipment, magnetic flux, coating machine, induction]","[магнетронное распыление, нанесение покрытий, магнитное поле, высокая энергия, намотка, магнитная левитация, оборудование, магнитный поток, машина для нанесения покрытий, индукция]",Magnetron Sputtering Coating,磁控溅射镀膜,Магнетронное напыление покрытий
63,"[量子, 通信, 量子态, 隐形, 纠缠, 哲学, 量子力学, 计算, 读出, 信息技术]","[quantum, communication, quantum state, invisible, entanglement, philosophy, quantum mechanics, computing, readout, information technology]","[квант, коммуникация, квантовое состояние, невидимость, запутанность, философия, квантовая механика, вычисления, считывание, информационные технологии]",Quantum Communication and Computing,量子通信与计算,Квантовая связь и вычисления
64,"[实验室, 开放, 重点, 无线, 涂层, 计算机系统, 特种, 办好, 殷切期望, 无机]","[laboratory, open, key, wireless, coating, computer system, special, run well, earnest expectations, inorganic]","[лабораторный, открытый, фокус, беспроводной, покрытие, компьютерная система, специальный, молодец, большие ожидания, неорганический]",Open Science and National Key Laboratories,开放科学与国家重点实验室,Открытая наука и национальные ключевые лаборатории
65,"[原子钟, 星载, 芯片, 粒子, 剂量, 探测器, 抽运, 质谱仪, 电子, 仪星载]","[atomic clock, satellite-borne, chip, particle, dose, detector, pumping, mass spectrometer, electronic, instrument satellite-borne]","[атомные часы, космический, чип, частица, доза, детектор, накачка, масс-спектрометр, электрон, космический прибор]",Advanced Scientific Instruments and Technologies,先进科学仪器与技术,Передовые научные приборы и технологии
66,"[植物, 植物园, 孢子植物, 分类学, 中国, 编研, 三志, 动物, 植物学, 物种]","[plant, botanical garden, spore plant, taxonomy, china, compilation and research, three records, animals, botany, species]","[растения, ботанические сады, споровые растения, таксономия, китай, редакция, санчжи, животные, ботаника, виды]",Flora of China,中国植物志,Флора Китая
67,"[实验室, 开放, 第二批, 重点, 简介, 中国科学院, 植物, 研究, 物理, 国家]","[laboratory, open, second batch, key, introduction, chinese academy of sciences, plant, research, physics, national]","[лаборатория, открытая, вторая партия, фокус, внедрение, китайская академия наук, завод, исследование, физика, страна]",Open Science and S&T Innovation Policy Research,开放科学与科技创新政策研究,Открытая наука и исследования политики в области научно-технических инноваций
68,"[国家自然科学基金, 资助, 科学基金, 评议, 同行, 基础, 申请, 基金, 女性, 评审]","[national natural science foundation, funding, science foundation, review, peer, foundation, application, fund, female, review]","[национальный фонд естественных наук китая, финансирование, научный фонд, обзор, коллега, фонд, заявка, фонд, женщина, обзор]",Peer Review and Funding Allocation for Basic Research,基础研究的同行评议与资助分配,Экспертная оценка и распределение финансирования для фундаментальных исследований
69,"[粮食, 粮食安全, 耕地, 生产, 安全, 保障, 我国, 供给, 生产能力, 农业]","[food, food security, arable land, production, safety, guarantee, my country, supply, production capacity, agriculture]","[продовольствие, продовольственная безопасность, пахотные земли, производство, безопасность, защищенность, моя страна, снабжение, производственные мощности, сельское хозяйство]",Food Security,粮食安全,Продовольственная безопасность
